waste_type,total_generate_1k_tonnes,total_recycled_1k_tonnes,year
Scrap Tyres,23,19,2009
"Others (stones, ceramic, rubber, ect)",271,3,2009
Overall,6114,3485,2009
Food ,568,68,2008
Paper/Cardboard,1263,609,2008
Plastics,684,61,2008
Construction & Demolition,922,900,2008
Wood/Timber,270,190,2008
Horticultural,229,96,2008
Ferrous Metals,785,735,2008
Non-ferrous Metals,85,72,2008
Used Slag,566,561,2008
Glass,57,10,2008
Textile/Leather,93,11,2008
Scrap Tyres,25,22,2008
"Others (stones, ceramic, rubber, ect)",308,8,2008
Overall,5970,3343,2008
Food ,559,51,2007
Paper/Cardboard,1203,619,2007
Plastics,660,75,2007
Construction & Demolition,778,759,2007
Wood/Timber,246,128,2007
Horticultural,225,91,2007
Ferrous Metals,737,668,2007
Non-ferrous Metals,92,76,2007
Used Slag,527,520,2007
Glass,65,6,2007
Textile/Leather,110,6,2007
Scrap Tyres,26,22,2007
"Others (stones, ceramic, rubber, ect)",249,14,2007
Overall,5601,3035,2007
Food ,543,45,2006
Paper/Cardboard,1116,571,2006
Plastics,657,78,2006
Construction & Demolition,619,604,2006
Wood/Timber,224,82,2006
Horticultural,231,87,2006
Ferrous Metals,726,657,2006
Non-ferrous Metals,87,71,2006
Used Slag,471,417,2006
Glass,63,6,2006
Textile/Leather,92,4,2006
Scrap Tyres,24,19,2006
"Others (stones, ceramic, rubber, ect)",242,15,2006
Overall,5221,2657,2006
Food ,532,37,2005
Paper/Cardboard,1099,541,2005
Plastics,675,86,2005
Construction & Demolition,493,465,2005
Wood/Timber,239,90,2005
Horticultural,200,101,2005
Ferrous Metals,818,749,2005
Non-ferrous Metals,89,75,2005
Used Slag,382,299,2005
Glass,63,4,2005
Textile/Leather,89,4,2005
Scrap Tyres,17,11,2005
"Others (stones, ceramic, rubber, ect)",225,9,2005
Overall,5018,2469,2005
Food ,531,31,2004
Paper/Cardboard,1132,520,2004
Plastics,683,74,2004
Construction & Demolition,509,471,2004
Wood/Timber,222,74,2004
Horticultural,227,128,2004
Ferrous Metals,720,650,2004
Non-ferrous Metals,87,72,2004
Used Slag,267,260,2004
Glass,74,5,2004
Textile/Leather,115,5,2004
Scrap Tyres,15,7,2004
"Others (stones, ceramic, rubber, ect)",114,11,2004
Overall,4790,2307,2004
Food ,548,33,2003
Paper/Cardboard,1085,466,2003
Plastics,580,39,2003
Construction & Demolition,423,398,2003
Wood/Timber,213,41,2003
Horticultural,305,119,2003
Ferrous Metals,857,799,2003
Non-ferrous Metals,94,76,2003
Used Slag,260,239,2003
Glass,66,6,2003
Textile/Leather,92,1,2003
Scrap Tyres,14,6,2003
"Others (stones, ceramic, rubber, ect)",104,0,2003
Overall,4728,2223,2003
Construction & Demolition,1609,1600,2017
Ferrous Metals,1379,1371,2017
Used slag,273,269,2017
Non-ferrous metals,94,92,2017
Scrap Tyres,36,33,2017
Wood/Timber,424,327,2017
Horticultural,328,221,2017
Paper/Cardboard,1145,569,2017
Glass,71,12,2017
Food,810,133,2017
Plastics,815,52,2017
Textile/Leather,151,10,2017
"Others (stones, ceramic, rubber, ect)",326,7,2017
Overall,7704,4724,2017
